Feature,Score,Selected
Resp_stft_slow_std_power,0.11032875754559239,False
Resp_stft_ultra_slow_spectral_centroid,0.1097287452852702,False
Resp_stft_temporal_power_std,0.10790299796668229,False
BaseExcess_stft_moderate_max_power,0.10679094092804575,False
BaseExcess_stft_temporal_power_min,0.09745187588355864,False
Hct_stft_temporal_power_min,0.09546769527483126,False
PaCO2_stft_temporal_trend,0.09405050505830136,False
pH_stft_spectral_centroid,0.09380650481580388,False
BaseExcess_stft_slow_max_power,0.08976118515130115,False
Resp_stft_max_power,0.08641871212094868,False
SBP_stft_moderate_max_power,0.0846501250767025,False
DBP_stft_moderate_max_power,0.07984642393653714,False
HR_stft_temporal_power_std,0.0782415474150527,False
BaseExcess_stft_slow_temporal_variability,0.07782039501381456,False
Glucose_stft_ultra_slow_power_ratio,0.07726230464322796,False
Shock_Index_stft_spectral_centroid,0.07589593835575892,False
pH_stft_ultra_slow_spectral_centroid,0.07391735161418579,False
Glucose_stft_temporal_concentration,0.07321475849056401,False
SBP_stft_temporal_concentration,0.07178717934404408,False
BaseExcess_stft_slow_std_power,0.07095810105389154,False
SBP_stft_fast_power_ratio,0.0690381869831849,False
DBP_stft_temporal_power_std,0.0653405251553989,False
O2Sat_stft_moderate_power_ratio,0.0647681524642447,False
BaseExcess_stft_moderate_temporal_variability,0.064320908677051,False
Shock_Index_stft_ultra_slow_spectral_centroid,0.0637086816450686,False
SBP_stft_ultra_slow_spectral_centroid,0.06352365206993343,False
pH_stft_slow_temporal_variability,0.0633583895966626,False
pH_stft_slow_std_power,0.06269177925835995,False
pH_stft_moderate_std_power,0.0618365211823923,False
HR_stft_slow_std_power,0.061817581543422775,False
pH_stft_moderate_temporal_variability,0.05956546958047888,False
BaseExcess_stft_moderate_std_power,0.05942244190387137,False
O2Sat_stft_fast_power_ratio,0.05887420587839041,False
HR_stft_temporal_trend,0.05770658843818873,False
Resp_stft_spectral_centroid,0.05610856160850999,False
O2Sat_stft_spectral_centroid,0.0535268248202882,False
Resp_stft_slow_spectral_centroid,0.05333824455800147,False
pH_stft_slow_mean_power,0.05182786073806805,False
DBP_stft_ultra_slow_max_power,0.05078844606371349,False
pH_stft_fast_std_power,0.04957066155673701,False
pH_stft_fast_temporal_variability,0.04957066155673701,False
SBP_stft_total_power,0.049124500824099845,False
BaseExcess_stft_fast_max_power,0.04715333737684817,False
Resp_stft_fast_mean_power,0.04561264685776875,False
DBP_stft_slow_power_ratio,0.045349135637488706,False
BaseExcess_stft_fast_temporal_variability,0.0446697310754683,False
BaseExcess_stft_fast_std_power,0.0446697310754683,False
DBP_stft_fast_power_ratio,0.04174012157730377,False
pH_stft_moderate_mean_power,0.04011182787366488,False
SBP_stft_temporal_power_max,0.039902063644809665,False
DBP_stft_moderate_std_power,0.03886267311526538,False
pH_stft_slow_power_ratio,0.03787638920594272,False
HR_stft_slow_temporal_variability,0.03694977148253952,False
BaseExcess_stft_slow_power_ratio,0.03534412942156974,False
pH_stft_fast_mean_power,0.03510173026181953,False
BaseExcess_stft_fast_mean_power,0.03321931690621221,False
HR_stft_moderate_power_ratio,0.03264998343777106,False
O2Sat_stft_slow_power_ratio,0.03222625952472189,False
Resp_stft_total_power,0.029939190354783568,False
pH_stft_moderate_power_ratio,0.027727579103322225,False
BaseExcess_stft_ultra_slow_mean_power,0.02739222482054966,False
BaseExcess_stft_slow_mean_power,0.025934671641787616,False
DBP_stft_temporal_power_max,0.024874527471425763,False
pH_stft_fast_power_ratio,0.023844040956446717,False
Resp_stft_fast_std_power,0.023085832224712007,False
Resp_stft_fast_temporal_variability,0.023085832224712007,False
HR_stft_ultra_slow_spectral_centroid,0.021938718458982445,False
SBP_stft_fast_max_power,0.021728759924366604,False
HR_stft_ultra_slow_max_power,0.019817276141660282,False
SBP_stft_temporal_power_std,0.019618321636681466,False
BaseExcess_stft_fast_power_ratio,0.01673369718569466,False
SBP_stft_moderate_std_power,0.0154660376474321,False
Hct_stft_temporal_trend,0.014255002501885446,False
BaseExcess_stft_ultra_slow_temporal_variability,0.011017533742573605,False
HR_stft_slow_max_power,0.010956110313491155,False
O2Sat_stft_temporal_power_min,0.01084028912418058,False
SBP_stft_ultra_slow_max_power,0.010519108356902935,False
Resp_stft_spectral_rolloff,0.009164432706137293,False
MAP_stft_ultra_slow_power_ratio,0.008910127570127591,False
BaseExcess_stft_ultra_slow_std_power,0.008683475124813782,False
Shock_Index_stft_fast_power_ratio,0.008441021132700689,False
DBP_stft_max_power,0.008249829984979626,False
Resp_stft_temporal_power_max,0.006621153512397755,False
DBP_stft_total_power,0.0063396411794202166,False
SBP_stft_fast_temporal_variability,0.004974152731507531,False
SBP_stft_fast_std_power,0.004974152731507531,False
BaseExcess_stft_temporal_power_max,0.0049392459522750115,False
Resp_stft_moderate_temporal_variability,0.0037378622514664117,False
HR_stft_max_power,0.003438659832684109,False
BaseExcess_stft_ultra_slow_max_power,0.0031959930998017977,False
O2Sat_stft_ultra_slow_spectral_centroid,0.0025253597096898295,False
HR_stft_spectral_centroid,0.0018155669624545481,False
BaseExcess_stft_mean_power,0.0017992337307689604,False
BaseExcess_stft_temporal_power_mean,0.0017992337307676353,False
BaseExcess_stft_temporal_power_std,0.001319999826045785,False
Resp_stft_moderate_mean_power,0.0012435904670466983,False
SBP_stft_moderate_power_ratio,0.0009708576178958973,False
HR_stft_temporal_power_max,0.0008728318679939252,False
BaseExcess_stft_total_power,0.0006960641227080459,False
SBP_stft_moderate_temporal_variability,0.00039694312845686876,False
Shock_Index_stft_moderate_power_ratio,0.00038998015484775094,False
BaseExcess_stft_moderate_mean_power,0.0002787149956282258,False
SBP_stft_max_power,0.0001924630374284496,False
HR_stft_slow_power_ratio,0.00010639424069285222,False
BaseExcess_stft_max_power,3.7801307776580364e-05,False
